観光地点等一覧,H25.11.8,,,,,
ID,名称,住所,緯度,経度,電話番号,種別
143,剣山登山リフト,三好市東祖谷菅生見の越,33.8652668,134.0870326,,
144,雲辺寺ロープウェイ,三好市池田町白地763-2,34.017511,133.7811141,,
145,平家屋敷民族資料館,三好市西祖谷山村東西岡46,33.8821305,133.7790407,,
146,箸蔵寺ロープウェイ,三好市池田町洲津藤ノ井559-14,34.0260411,133.8072634,,
147,塩塚高原キャンプ場,三好市山城町平野205,33.9358161,133.6809174,,
148,井川スキー場腕山,三好市井川町井内東519−91　,33.9632086,133.8848612,,
149,イカワXパーク,三好市井川町西井川1916-1,34.0332666,133.8586661,,
150,奥祖谷二重かずら橋,三好市東祖谷名頃,33.855356,134.0183889,,
151,祖谷のかずら橋,三好市西祖谷山村善徳,33.8754571,133.8343571,,
152,レオマ高原ゴルフ場,三好市山城町大和川田中,34.0260411,133.8072634,,
153,祖谷ふれあい公園,三好市西祖谷山村字尾井ノ内,34.0260411,133.8072634,,
154,三好市ふれあい紅葉　センター紅葉温泉,三好市三野町加茂野宮1467,34.0578592,133.9880675,,
155,和の宿ホテル祖谷温泉,三好市池田町松尾367-2,33.9576169,133.7897054,,
156,大歩危温泉サンリバー大歩危,三好市山城町西宇大歩危1259-1,33.9129396,133.7583669,,
157,祖谷秘境の湯,三好市西祖谷山村尾井ノ内391,33.8880135,133.7984385,,
158,いやしの温泉郷ホテル三嶺,三好市東祖谷菅生28,33.8689707,133.9801812,,
159,湯元新祖谷温泉　ホテルかずら橋,三好市西祖谷山村善徳３３−１,33.8754571,133.8343571,,
160,松尾川温泉,三好市池田町松尾黒川2-2,33.9585895,133.8208316,,
161,道の駅三野,三好市三野町太刀野1910-1,34.0441407,133.9632659,,
162,剣山,三好市東祖谷見ノ越,33.8652668,134.0870326,,
163,貞光パークゴルフ場,美馬郡つるぎ町貞光字大須賀１１−１,34.042626,134.0600296,,
164,剣山木綿麻温泉,美馬郡つるぎ町貞光字長瀬１２７番地２,34.0008863,134.0843585,,
165,道の駅「貞光ゆうゆう館」,美馬郡つるぎ町貞光字大須賀１１−１,34.042626,134.0600296,,
166,吉野川ハイウェイオアシス,三好郡東みよし町,34.036783,133.936757,,
167,奥祖谷観光周遊モノレール,三好市東祖谷菅生28,33.8689707,133.9801812,,
168,水辺の楽校ぶぶるパークみかも,三好郡東みよし町西庄字横手1番地,34.0424323,133.9382596,,
169,道の駅大歩危,三好市山城町上名1553-1,33.881363,133.7600397,,
170,リバーサイドしでの家,美馬市穴吹町口山字仕出原７４,34.0353528,134.1568094,,
171,リバーステーションＷｅｓｔＷｅｓｔ,三好市山城町西宇1468-1,33.9056514,133.7539285,,
172,さまちの湯あわの抄,三好市池田町白地本名165-6,34.0158112,133.7814029,,
173,土々呂の滝,美馬郡つるぎ町半田字猿飼472-2,33.9914863,134.0059562,,
174,土釜,美馬郡つるぎ町一宇,33.9549355,134.0654733,,
175,旧永井家庄屋屋敷,美馬郡つるぎ町貞光字西浦37,34.0356323,134.0621237,,
176,二層うだつの町並み,美馬郡つるぎ町貞光,34.0371377,134.0632542,,
177,美濃田の淵周辺施設,三好郡東みよし町,34.036783,133.936757,,
